"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,115927000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,117126000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,121281000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,122777000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,126039000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,125223000000,,
"AUS","Australia","103","GDP: Government consumption expenditure, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,125332000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,114695000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,114195000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,113652000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,107486000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,109438000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,113973000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,120033000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,123609000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,124071000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,123287000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,123943000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,124522000000,,
"AUS","Australia","104","GDP: Gross fixed capital formation, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,124291000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,131004000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,130109000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,124453000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,115634000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q3","Q3-2020","NATCUR","National currency","0","Units",,,111472000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q4","Q4-2020","NATCUR","National currency","0","Units",,,116460000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q1","Q1-2021","NATCUR","National currency","0","Units",,,118101000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q2","Q2-2021","NATCUR","National currency","0","Units",,,113223000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q3","Q3-2021","NATCUR","National currency","0","Units",,,113884000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2021-Q4","Q4-2021","NATCUR","National currency","0","Units",,,113635000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q1","Q1-2022","NATCUR","National currency","0","Units",,,112565000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q2","Q2-2022","NATCUR","National currency","0","Units",,,118532000000,,
"AUS","Australia","105","GDP: Exports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2022-Q3","Q3-2022","NATCUR","National currency","0","Units",,,121681000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q3","Q3-2019","NATCUR","National currency","0","Units",,,102382000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2019-Q4","Q4-2019","NATCUR","National currency","0","Units",,,101951000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q1","Q1-2020","NATCUR","National currency","0","Units",,,96049000000,,
"AUS","Australia","106","GDP: Imports of goods and services, constant prices","202212","December 2022","Q","Quarterly","2020-Q2","Q2-2020","NATCUR","National currency","0","Units",,,82676000000,,
